chr	start	stop	size	confidence	selected parent	sequence pool
chr1	60255361	69849341	9593980	high	p1	large plant
chr1	90619709	90959095	339386	high	p1	large plant
chr3	108332482	108658335	325853	high	p1	large plant
chr4	72085352	72456250	370898	high	p1	large plant
chr5	130986673	157960115	26973442	high	p2	large plant
chr7	36466288	37410474	944186	high	p1	large plant
chr8	132392944	132781455	388511	high	p1	large plant
chr10	21521377	22702433	1181056	high	p1	large plant
chr1	455861	13854546	13398685	low	p1	large plant
chr1	170877659	171253827	376168	low	p1	large plant
chr2	55428942	55961964	533022	low	p1	large plant
chr2	114448932	114957517	508585	low	p1	large plant
chr2	126034984	126475373	440389	low	p1	large plant
chr3	11719757	12002922	283165	low	p1	large plant
chr3	12157474	16907255	4749781	low	p1	large plant
chr3	144034451	144169093	134642	low	p1	large plant
chr3	149441643	149680694	239051	low	p1	large plant
chr4	29836106	30360486	524380	low	p1	large plant
chr4	88623650	88964839	341189	low	p2	large plant
chr6	38065559	38312483	246924	low	p1	large plant
chr6	75516962	75774690	257728	low	p1	large plant
chr6	77371239	78267503	896264	low	p1	large plant
chr7	17908174	19853559	1945385	low	p1	large plant
chr7	78413462	78657128	243666	low	p1	large plant
chr7	110088826	111077744	988918	low	p2	large plant
chr7	133596585	134084856	488271	low	p1	large plant
chr8	19955621	20151148	195527	low	p1	large plant
chr8	57381275	59286474	1905199	low	p1	large plant
chr8	111000235	111428493	428258	low	p1	large plant
chr9	18643803	19020810	377007	low	p1	large plant
chr10	125763124	126155568	392444	low	p2	large plant
chr10	150144704	150187273	42569	low	p1	large plant
chr1	69349864	69673225	323361	high	p2	small plant
chr2	5525507	5898343	372836	high	p2	small plant
chr2	114448932	114757517	308585	high	p2	small plant
chr4	38100100	38283905	183805	high	p2	small plant
chr4	72085352	72122441	37089	high	p2	small plant
chr6	38065559	38312483	246924	high	p1	small plant
chr6	74585810	74933173	347363	high	p2	small plant
chr7	36466288	37410474	944186	high	p2	small plant
chr8	111000235	111028493	28258	high	p2	small plant
chr9	133737230	133774062	36832	high	p2	small plant
chr10	21521377	22522433	1001056	high	p2	small plant
chr1	90619709	90859095	239386	low	p2	small plant
chr1	177984110	178371000	386890	low	p2	small plant
chr2	94970423	95200344	229921	low	p2	small plant
chr3	12157474	17067255	4909781	low	p1	small plant
chr3	36835913	36886621	50708	low	p2	small plant
chr3	108332482	108365335	32853	low	p2	small plant
chr5	226885	531679	304794	low	p2	small plant
chr5	130986673	133660115	2673442	low	p1	small plant
chr6	107813973	108134349	320376	low	p2	small plant
chr7	17908174	19853559	1945385	low	p2	small plant
chr7	78413462	78657128	243666	low	p2	small plant
chr7	110088826	111077744	988918	low	p1	small plant
chr8	57381275	62386474	5005199	low	p1	small plant
chr8	156100392	156403624	303232	low	p1	small plant
chr10	125763124	126165568	402444	low	p1	small plant
chr10	150144704	150167273	22569	low	p2	small plant
